ticker,cd_cvm,cnpj
AALR3,24058,42771949000135
ABCB4,20958,28195667000106
ABEV3,23264,7526557000100
AERI3,25283,12528708000107
AFLT3,22179,10338320000100
AGRO3,20036,7628528000159
AGXY3,25658,21240146000184
AHEB3,9415,62002886000160
ALLD3,25330,20247322000147
ALOS3,22357,5878397000132
ALPA3,10456,61079117000105
ALPA4,10456,61079117000105
ALPK3,24953,60537263000166
ALUP11,21490,8364948000138
ALUP3,21490,8364948000138
ALUP4,21490,8364948000138
AMAR3,22055,61189288000189
AMBP3,24961,12648266000124
AMER3,20990,776574000156
AMOB3,27707,35654688000108
ANIM3,23248,9288252000132
ARML3,26069,242184000104
ASAI3,25372,6057223000171
ATED3,27677,23994857000170
AUAU3,27766,53153938000108
AURE3,26620,28594234000123
AVLL3,25275,16811931000100
AZEV3,11975,61351532000168
AZEV4,11975,61351532000168
AZZA3,22349,16590234000176
B1003,21610,9346601000125
B3SA3,21610,9346601000125
BALM3,1562,61374161000130
BALM4,1562,61374161000130
BAZA3,922,4902979000144
BBAS3,1023,191
BBDC3,906,60746948000112
BBDC4,906,60746948000112
BBSE3,23159,17344597000194
BDLL3,1520,60851615000153
BDLL4,1520,60851615000153
BEEF3,20931,67620377000114
BEES3,1155,28127603000178
BEES4,1155,28127603000178
BGIP3,1120,13009717000146
BGIP4,1120,13009717000146
BHIA3,6505,33041260065290
BIED3,701,45987245000192
BIOM3,19305,4752991000110
BLAU3,24627,58430828000160
BMEB3,1325,17184037000110
BMEB4,1325,17184037000110
BMGB4,24600,61186680000174
BMKS3,1694,56992423000190
BMOB3,25500,9042817000105
BNBR3,1228,7237373000120
BPAC11,22616,30306294000145
BPAC3,22616,30306294000145
BPAC5,22616,30306294000145
BRAP3,18724,3847461000192
BRAP4,18724,3847461000192
BRAV3,25291,12091809000155
BRBI11,25860,10739356000103
BRKM3,4820,42150391000170
BRKM5,4820,42150391000170
BRKM6,4820,42150391000170
BRSR3,1210,92702067000196
BRSR5,1210,92702067000196
BRSR6,1210,92702067000196
BRST3,27693,4601397000128
BSLI3,14206,208000100
BSLI4,14206,208000100
CALI3,4723,61022042000118
CAMB3,2100,61088894000108
CAML3,24228,64904295000103
CASH3,25232,14110585000107
CBAV3,25984,61409892000173
CBEE3,3050,33050071000158
CEAB3,24848,45242914000105
CEBR3,14451,70698000111
CEBR5,14451,70698000111
CEBR6,14451,70698000111
CEEB3,14524,15139629000194
CEEB5,14524,15139629000194
CGAS3,15636,61856571000117
CGAS5,15636,61856571000117
CGRA3,4537,92012467000170
CGRA4,4537,92012467000170
CLSC3,2461,83878892000155
CLSC4,2461,83878892000155
CMIG3,2453,17155730000164
CMIG4,2453,17155730000164
CMIN3,25585,8902291000115
COCE3,14869,7047251000170
COCE5,14869,7047251000170
COGN3,17973,2800026000140
CPFE3,18660,2429144000193
CPLE3,14311,76483817000120
CRPG3,11398,15115504000124
CRPG5,11398,15115504000124
CRPG6,11398,15115504000124
CSAN3,19836,50746577000115
CSED3,25526,62984091000102
CSMG3,19445,17281106000103
CSNA3,4030,33042730000104
CSUD3,20044,1896779000138
CURY3,25100,8797760000183
CVCB3,23310,10760260000119
CXSE3,23795,22543331000100
CYRE3,14460,73178600000118
CYRE4,14460,73178600000118
DASA3,19623,61486650000183
DESK3,26026,8170849000115
DEXP3,16632,2193750000152
DEXP4,16632,2193750000152
DIRR3,21350,16614075000100
DMVF3,25046,12108897000150
DOTZ3,25836,18174270000184
DTCY3,18597,3303999000136
DXCO3,21091,97837181000147
EALT10,5380,82643537000134
EALT3,5380,82643537000134
EALT4,5380,82643537000134
ECOR3,19453,4149454000180
EGIE3,17329,2474103000119
ENEV3,21237,4423567000121
ENGI11,15253,864214000106
ENGI3,15253,864214000106
ENGI4,15253,864214000106
ENJU3,25259,16922038000151
ENMT3,14605,3467321000199
ENMT4,14605,3467321000199
EPAR3,15458,42331462000131
EQMA3B,16608,6272793000184
EQPA3,18309,4895728000180
EQPA7,18309,4895728000180
EQTL3,20010,3220438000173
ESPA3,25445,26659061000159
ETER3,5762,61092037000181
EUCA3,5770,56643018000166
EUCA4,5770,56643018000166
EVEN3,20524,43470988000165
EZTC3,20770,8312229000173
FESA3,3069,15141799000103
FESA4,3069,15141799000103
FHER3,20621,22266175000188
FICT3,15423,359742000108
FIEI3,20630,7820907000146
FIQE3,26050,2255187000108
FLRY3,21881,60840055000131
FRAS3,6211,88610126000129
GEPA3,18368,2998301000181
GEPA4,18368,2998301000181
GFSA3,16101,1545826000107
GGBR3,3980,33611500000119
GGBR4,3980,33611500000119
GGPS3,25712,9229201000130
GMAT3,25186,24990777000109
GOAU3,8656,92690783000109
GOAU4,8656,92690783000109
GRND3,19615,89850341000160
GSHP3,21008,8764621000153
HAGA3,13366,30540991000166
HAGA4,13366,30540991000166
HAPV3,24392,5197443000138
HBOR3,20877,49263189000102
HBRE3,25402,14785152000151
HBSA3,22675,12648327000153
HYPE3,21431,2932074000191
IFCM3,25747,38456921000136
IGTI11,8672,60543816000193
IGTI3,8672,60543816000193
IGTI4,8672,60543816000193
INEP3,7595,76627504000106
INEP4,7595,76627504000106
INTB3,25453,82901000000127
IRBR3,24180,33376989000191
ISAE3,18376,2998611000104
ISAE4,18376,2998611000104
ITSA3,7617,61532644000115
ITSA4,7617,61532644000115
ITUB3,19348,60872504000123
ITUB4,19348,60872504000123
JALL3,25496,2635522000195
JFEN3,7811,33035536000100
JHSF3,20605,8294224000165
JOPA3,13285,87456562000122
JSLG3,22020,52548435000179
KEPL3,7870,91983056000169
KLBN11,12653,89637490000145
KLBN3,12653,89637490000145
KLBN4,12653,89637490000145
LAND3,26000,40337136000106
LAVV3,25062,26462693000128
LEVE3,8575,60476884000187
LIGT3,19879,3378521000175
LJQQ3,25038,96418264021802
LOGG3,23272,9041168000110
LOGN3,20710,42278291000124
LPSB3,20370,8078847000109
LREN3,8133,92754738000162
LUPA3,20060,89463822000112
LWSA3,24910,2351877000152
MATD3,25690,16676520000159
MDIA3,20338,7206816000115
MDNE3,21067,12049631000184
MEAL3,23574,17314329000120
MELK3,25119,12181987000177
MGLU3,22470,47960950000121
